bag_id,barcode,soak_id,n_readings,mon2,tof,Tch,temp_diag,T_channel,sig,sig_T,reading_offset_min,status,site,water_type,cbt,censored,t_utc,b_T,day,baseline,baseline_day,baseline_age_days,sig_TD,sample_group
B202605301205,50065,S041,4,729.5,53.0,33.31543,33.31543,temperature (board),6.327039933952003,6.613321678952003,-0.4586833333333334,paired,Fake.Kicukiro.Amazi Meza wahehouse.Nyirakanamba II. Water pipe,Source (untreated),100.0,True,2026-05-30 13:05:00+00:00,-0.0215,2026-05-30,5.381737109970168,"2026-05-27,2026-06-02",3,1.2315845689818348,G202605301205
B202605301221,50045,S042,1,577.0,35.0,28.914062,30.596313,sipm_temperature,6.008813185442595,6.200465518442595,0.03860676666666667,paired,Fake.Kicukiro.Amazi Meza warehouse.Nyirakanamba I.Water Stream,Source (untreated),100.0,True,2026-05-30 13:21:00+00:00,-0.0215,2026-05-30,5.8904838564454645,2026-05-27,3,0.3099816619971305,G202605301221
B202605301221,50065,S042,4,395.5,39.0,30.75241,30.75241,temperature (board),5.418317700738353,5.649494515738354,-0.3758916666666666,paired,Fake.Kicukiro.Amazi Meza warehouse.Nyirakanamba I.Water Stream,Source (untreated),100.0,True,2026-05-30 13:21:00+00:00,-0.0215,2026-05-30,5.381737109970168,"2026-05-27,2026-06-02",3,0.26775740576818574,G202605301221
B202605301228,50045,S043,1,554.0,35.0,27.664062,29.163742,sipm_temperature,5.950642552587727,6.115419885587727,-0.9638671999999999,paired,Fake.Kicukiro.Amazi Meza warehouse.Nyirakanamba I.Water Stream,Source (untreated),100.0,True,2026-05-30 13:28:00+00:00,-0.0215,2026-05-30,5.8904838564454645,2026-05-27,3,0.2249360291422624,G202605301228
B202605301228,50065,S043,3,416.0,39.0,33.31543,33.31543,temperature (board),5.5053315359323625,5.791613280932363,0.10843333333333334,paired,Fake.Kicukiro.Amazi Meza warehouse.Nyirakanamba I.Water Stream,Source (untreated),100.0,True,2026-05-30 13:28:00+00:00,-0.0215,2026-05-30,5.381737109970168,"2026-05-27,2026-06-02",3,0.4098761709621943,G202605301228
B202605301304,50045,P50045-05301403,1,698.0,42.0,27.078125,27.970352,sipm_temperature,6.269096283706261,6.421275971206262,-0.9759114666666666,paired (partner soak),Fake.Kicukiro.Amazi Meza warehouse.Kabeza.Stream Water,Source (untreated),100.0,True,2026-05-30 14:04:00+00:00,-0.0215,2026-05-30,5.8904838564454645,2026-05-27,3,0.5307921147607972,G202605301304
B202605301326,50045,S044,1,763.0,47.0,26.421875,27.06398,sipm_temperature,6.385194398997726,6.523264711497726,1.0139322833333333,paired,Fake.Kicukiro.Amazi Meza warehouse.Sahara.Stream water,Source (untreated),100.0,True,2026-05-30 14:26:00+00:00,-0.0215,2026-05-30,5.8904838564454645,2026-05-27,3,0.6327808550522613,G202605301326
B202605301326,50065,S044,4,746.5,53.0,29.491058,29.491058,temperature (board),6.356971954734864,6.565252733664194,0.08056666666666665,paired,Fake.Kicukiro.Amazi Meza warehouse.Sahara.Stream water,Source (untreated),100.0,True,2026-05-30 14:26:00+00:00,-0.0215,2026-05-30,5.381737109970168,"2026-05-27,2026-06-02",3,1.183515623694026,G202605301326
B202605301333,50045,S045,1,754.0,47.0,26.585938,27.131958,sipm_temperature,6.369900982828227,6.511498649828227,0.0158203,paired,Fake.Kicukiro.Amazi Meza warehouse.Sahara.Stream water,Source (untreated),100.0,True,2026-05-30 14:33:00+00:00,-0.0215,2026-05-30,5.8904838564454645,2026-05-27,3,0.6210147933827628,G202605301333
B202605301333,50065,S045,4,705.5,53.5,31.0306095,31.0306095,temperature (board),6.2832004539834045,6.520358558233404,0.07965,paired,Fake.Kicukiro.Amazi Meza warehouse.Sahara.Stream water,Source (untreated),100.0,True,2026-05-30 14:33:00+00:00,-0.0215,2026-05-30,5.381737109970168,"2026-05-27,2026-06-02",3,1.138621448263236,G202605301333
