Deployment,Enumerator > Username,Submitted On,Water Sampling Site > Name,Date and time of water sample ,Lume Barcode,Second Lume Barcode,Replicate 1: E Coli CFU / 100 ,Replicate 1: Total Coliform CF,In what timezone was the sampl,Type of Enumeration,Is the enumeration past detect,Type of Water,In what timezone was this surv,Chlorine residual concentratio
Lume 1.2 - 2026,E1,2026-06-10 19:18:29,,2026-06-02 08:43:00,50065,,0,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Treated,UTC+03:00 East Africa Time (Kenya),0
Lume 1.2 - 2026,E1,2026-06-10 19:19:43,Turkana.Loima.Turkwel.Lorgum.East of treatement.Concrete fixed Public Stand Tap 4,2026-06-02 09:04:00,50065,,0,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Treated,UTC+03:00 East Africa Time (Kenya),0.25
Lume 1.2 - 2026,E1,2026-06-10 19:20:47,Turkana.Loima.Turkwel.Lorgum.Nearest to 32m3 steel tank.Concrete fixed Public Stand Tap 1,2026-06-02 09:16:00,50065,,0,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Treated,UTC+03:00 East Africa Time (Kenya),0.25
Lume 1.2 - 2026,E1,2026-06-10 19:21:49,Turkana.Loima.Turkwel.Lorgum.Behind grass roof house.Concrete fixed Public Stand Tap 3,2026-06-02 10:16:00,50065,,0,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Treated,UTC+03:00 East Africa Time (Kenya),0.25
Lume 1.2 - 2026,E1,2026-06-10 19:22:55,Turkana.Loima.Turkwel.Lorgum.100m near church.Concrete fixed public stand Tap 2,2026-06-02 10:28:00,50065,,0,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Treated,UTC+03:00 East Africa Time (Kenya),0.25
Lume 1.2 - 2026,E1,2026-06-10 19:24:21,Turkana.Loima.Turkwel.Lorgum.100m near church.Concrete fixed public stand Tap 2,2026-06-02 10:30:00,50065,,0,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Treated,UTC+03:00 East Africa Time (Kenya),0.25
Lume 1.2 - 2026,E1,2026-06-10 19:25:23,Turkana.Turkana West.Kakuma.Nakoyo.100m from the Tank.Public Stand Tap 2,2026-06-03 08:43:00,50065,50053,0,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Treated,UTC+03:00 East Africa Time (Kenya),0.5
Lume 1.2 - 2026,E1,2026-06-10 19:26:32,Turkana.Turkana West.Kakuma.Nakoyo.100m from the Tank.Public Stand Tap 2,2026-06-03 08:46:00,50065,50053,0,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Treated,UTC+03:00 East Africa Time (Kenya),0.5
Lume 1.2 - 2026,E1,2026-06-10 19:27:32,Turkana.Turkana West.Kakuma.Nakoyo.500m East.Public Stand Tap 3,2026-06-03 09:11:00,50065,50053,0,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Treated,UTC+03:00 East Africa Time (Kenya),0.25
Lume 1.2 - 2026,E1,2026-06-10 19:28:23,Turkana.Turkana West.Kakuma.Nakoyo.500m East.Public Stand Tap 3,2026-06-03 09:14:00,50065,50053,0,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Treated,UTC+03:00 East Africa Time (Kenya),0.25
