observation_id,barcode,site_name,sample_date,water_type,cbt_ecoli_cfu,cbt_censored,sensor_mon2_raw,sensor_tof_raw,water_temp_c,mon2c_baseline_subtracted,mon2c_normalized,tof_normalized,predicted_log10_cfu_insample,predicted_log10_cfu_loocv,loocv_agreement,who_risk_true,who_risk_predicted
86,50045,Fake.Kicukiro.Amazi Meza wahehouse.Nyirakanamba II. Water pipe,2026-05-30 12:05:00,Source (untreated),100,TRUE,776.0,46.000,29.03,776.00,292.00,17.000,2.0043,2.0043,TRUE,Very high,Very high
87,50065,Fake.Kicukiro.Amazi Meza warehouse.Nyirakanamba I.Water Stream,2026-05-30 12:21:00,Source (untreated),100,TRUE,394.0,39.000,32.54,394.00,90.00,0.000,1.2959,1.2501,TRUE,Very high,Intermediate
88,50045,Fake.Kicukiro.Amazi Meza warehouse.Nyirakanamba I.Water Stream,2026-05-30 12:21:00,Source (untreated),100,TRUE,554.0,35.000,29.16,554.00,70.00,6.000,1.3495,1.3049,TRUE,Very high,Intermediate
89,50065,Fake.Kicukiro.Amazi Meza warehouse.Nyirakanamba I.Water Stream,2026-05-30 12:28:00,Source (untreated),100,TRUE,394.0,39.000,32.54,394.00,90.00,0.000,1.2959,1.2501,TRUE,Very high,Intermediate
90,50045,Fake.Kicukiro.Amazi Meza warehouse.Nyirakanamba I.Water Stream,2026-05-30 12:28:00,Source (untreated),100,TRUE,554.0,35.000,29.16,554.00,70.00,6.000,1.3495,1.3049,TRUE,Very high,Intermediate
91,50045,Fake.Kicukiro.Amazi Meza warehouse.Kabeza.Stream Water,2026-05-30 13:12:00,Source (untreated),100,TRUE,698.0,42.000,27.97,698.00,214.00,13.000,2.0043,2.0043,TRUE,Very high,Very high
92,50045,Fake.Kicukiro.Amazi Meza warehouse.Kabeza.Stream Water,2026-05-30 13:04:00,Source (untreated),100,TRUE,698.0,42.000,27.97,698.00,214.00,13.000,2.0043,2.0043,TRUE,Very high,Very high
93,50065,Fake.Kicukiro.Amazi Meza warehouse.Sahara.Stream water,2026-05-30 13:26:00,Source (untreated),100,TRUE,701.0,52.000,31.11,701.00,397.00,13.000,2.0043,2.0043,TRUE,Very high,Very high
94,50045,Fake.Kicukiro.Amazi Meza warehouse.Sahara.Stream water,2026-05-30 13:26:00,Source (untreated),100,TRUE,754.0,47.000,27.13,754.00,270.00,18.000,2.0043,2.0043,TRUE,Very high,Very high
95,50065,Fake.Kicukiro.Amazi Meza warehouse.Sahara.Stream water,2026-05-30 13:33:00,Source (untreated),100,TRUE,394.0,39.000,32.54,394.00,90.00,0.000,1.2959,1.2501,TRUE,Very high,Intermediate
